DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	Price	Currency	UpdateTime
2022-11-01 15:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	98.98	EUR	2022-10-31 11:36:40.040
2022-11-01 19:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	119.41	EUR	2022-10-31 11:36:40.040
2022-11-01 00:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	184.89	EUR	2022-10-31 11:43:14.014
2022-11-01 01:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	182.46	EUR	2022-10-31 11:43:14.014
2022-11-01 02:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	94.37	EUR	2022-10-31 11:43:14.014
2022-11-01 03:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	27.76	EUR	2022-10-31 11:43:14.014
2022-11-01 04:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	29.64	EUR	2022-10-31 11:43:14.014
2022-11-01 05:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	35.35	EUR	2022-10-31 11:43:14.014
2022-11-01 06:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	37.68	EUR	2022-10-31 11:43:14.014
2022-11-01 07:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	181.20	EUR	2022-10-31 11:43:14.014
2022-11-01 08:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	110.00	EUR	2022-10-31 11:43:14.014
2022-11-01 09:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	110.00	EUR	2022-10-31 11:43:14.014
2022-11-01 10:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	174.32	EUR	2022-10-31 11:43:14.014
2022-11-01 11:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	130.28	EUR	2022-10-31 11:43:14.014
2022-11-01 12:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	110.00	EUR	2022-10-31 11:43:14.014
2022-11-01 13:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	25.00	EUR	2022-10-31 11:43:14.014
2022-11-01 14:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	61.90	EUR	2022-10-31 11:43:14.014
2022-11-01 15:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	52.00	EUR	2022-10-31 11:43:14.014
2022-11-01 16:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	58.99	EUR	2022-10-31 11:43:14.014
2022-11-01 17:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	77.89	EUR	2022-10-31 11:43:14.014
2022-11-01 18:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	190.59	EUR	2022-10-31 11:43:14.014
2022-11-01 19:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	194.26	EUR	2022-10-31 11:43:14.014
2022-11-01 20:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	110.00	EUR	2022-10-31 11:43:14.014
2022-11-01 21:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	182.43	EUR	2022-10-31 11:43:14.014
2022-11-01 22:00:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	197.77	EUR	2022-10-31 11:43:14.014
2022-11-01 00:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	125.40	EUR	2022-10-31 12:50:45.045
2022-11-01 04:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	93.70	EUR	2022-10-31 12:50:45.045
2022-11-01 08:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	95.92	EUR	2022-10-31 12:50:45.045
2022-11-01 12:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	80.88	EUR	2022-10-31 12:50:45.045
2022-11-01 16:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	121.73	EUR	2022-10-31 12:50:45.045
2022-11-01 20:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	180.00	EUR	2022-10-31 12:50:45.045
2022-11-01 01:00:00.000	PT60M	10YPT-REN------W	BZN	PT BZN	PT	100.53	EUR	2022-10-31 13:01:55.055
2022-11-01 05:00:00.000	PT60M	10YPT-REN------W	BZN	PT BZN	PT	93.70	EUR	2022-10-31 13:01:55.055
2022-11-01 09:00:00.000	PT60M	10YPT-REN------W	BZN	PT BZN	PT	89.74	EUR	2022-10-31 13:01:55.055
2022-11-01 13:00:00.000	PT60M	10YPT-REN------W	BZN	PT BZN	PT	81.10	EUR	2022-10-31 13:01:55.055
2022-11-01 03:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	83.50	EUR	2022-10-31 11:03:54.054
2022-11-01 07:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	280.09	EUR	2022-10-31 11:03:54.054
2022-11-01 11:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	200.02	EUR	2022-10-31 11:03:54.054
